MM/YY,NINO1+2,NINO2,NINO3.4,NINO4
Jan 2003,76.05°F,79.41°F,81.41°F,83.95°F
Feb 2003,79.05°F,80.20°F,81.30°F,83.68°F
Mar 2003,79.99°F,81.16°F,81.91°F,83.89°F
Apr 2003,76.93°F,80.98°F,81.81°F,83.61°F
May 2003,73.17°F,79.34°F,81.10°F,83.46°F
Jun 2003,72.01°F,78.91°F,81.27°F,83.95°F
Jul 2003,70.50°F,78.53°F,81.21°F,84.07°F
Aug 2003,69.87°F,77.68°F,80.49°F,83.89°F
Sep 2003,68.56°F,77.20°F,80.49°F,83.86°F
Oct 2003,70.05°F,77.90°F,80.94°F,84.42°F
Nov 2003,71.73°F,77.94°F,80.65°F,84.34°F
Dec 2003,73.96°F,78.69°F,80.56°F,83.75°F
Jan 2004,76.62°F,79.05°F,80.20°F,83.37°F
Feb 2004,79.20°F,79.95°F,80.42°F,83.07°F
Mar 2004,78.48°F,80.80°F,80.69°F,82.94°F
Apr 2004,78.28°F,81.36°F,81.97°F,83.44°F
May 2004,74.57°F,80.19°F,82.31°F,84.11°F
Jun 2004,72.03°F,79.52°F,81.86°F,84.04°F
Jul 2004,69.94°F,78.64°F,81.97°F,84.45°F
Aug 2004,68.41°F,77.56°F,81.52°F,84.38°F
Sep 2004,68.45°F,77.49°F,81.37°F,84.78°F
Oct 2004,70.18°F,77.90°F,81.34°F,84.83°F
Nov 2004,72.52°F,78.35°F,81.34°F,84.76°F
Dec 2004,73.38°F,78.49°F,81.10°F,84.43°F
Jan 2005,76.35°F,78.73°F,80.92°F,84.40°F
Feb 2005,77.94°F,79.25°F,80.55°F,83.68°F
Mar 2005,77.41°F,80.47°F,81.50°F,83.73°F
Apr 2005,77.22°F,81.63°F,82.27°F,83.84°F
May 2005,76.24°F,81.32°F,82.58°F,84.20°F
Jun 2005,72.52°F,80.17°F,82.24°F,84.33°F
Jul 2005,70.57°F,78.76°F,81.27°F,84.06°F
Aug 2005,68.52°F,77.79°F,80.53°F,83.68°F
Sep 2005,67.82°F,76.64°F,79.95°F,83.55°F
Oct 2005,67.57°F,76.59°F,80.06°F,83.73°F
Nov 2005,68.65°F,75.60°F,79.32°F,83.41°F
Dec 2005,71.82°F,75.29°F,78.51°F,82.87°F
Jan 2006,75.94°F,76.73°F,78.15°F,81.79°F
Feb 2006,80.02°F,79.00°F,78.91°F,81.27°F
Mar 2006,79.38°F,79.86°F,79.83°F,81.93°F
Apr 2006,76.14°F,81.09°F,81.54°F,82.71°F
May 2006,75.51°F,80.89°F,82.08°F,83.57°F
Jun 2006,73.22°F,79.97°F,82.02°F,84.20°F
Jul 2006,71.60°F,78.53°F,81.10°F,84.07°F
Aug 2006,70.90°F,78.10°F,81.01°F,84.40°F
Sep 2006,71.11°F,78.46°F,81.12°F,84.79°F
Oct 2006,72.46°F,78.58°F,81.36°F,84.78°F
Nov 2006,73.08°F,78.94°F,81.81°F,85.12°F
Dec 2006,75.11°F,79.54°F,81.93°F,84.83°F
Jan 2007,77.23°F,79.90°F,81.16°F,84.06°F
Feb 2007,79.27°F,79.74°F,80.31°F,83.50°F
Mar 2007,79.30°F,80.08°F,80.89°F,83.53°F
Apr 2007,77.34°F,81.07°F,81.86°F,83.59°F
May 2007,74.28°F,79.56°F,81.41°F,83.57°F
Jun 2007,72.21°F,79.14°F,81.63°F,83.71°F
Jul 2007,70.12°F,77.43°F,80.40°F,83.39°F
Aug 2007,67.80°F,75.56°F,79.38°F,83.35°F
Sep 2007,67.12°F,75.18°F,78.62°F,82.69°F
Oct 2007,66.70°F,74.84°F,78.04°F,82.49°F
Nov 2007,67.50°F,74.59°F,77.72°F,81.63°F
Dec 2007,70.02°F,75.04°F,77.85°F,81.77°F
Jan 2008,75.67°F,75.78°F,76.95°F,80.20°F
Feb 2008,79.45°F,77.54°F,77.45°F,80.08°F
Mar 2008,80.82°F,80.04°F,79.34°F,80.85°F
Apr 2008,78.89°F,81.10°F,80.51°F,81.63°F
May 2008,76.44°F,80.92°F,80.94°F,82.22°F
Jun 2008,74.52°F,79.74°F,80.73°F,82.38°F
Jul 2008,72.93°F,79.02°F,80.65°F,82.60°F
Aug 2008,71.67°F,78.42°F,80.29°F,82.44°F
Sep 2008,71.06°F,77.63°F,79.74°F,82.56°F
Oct 2008,70.38°F,77.58°F,79.83°F,82.85°F
Nov 2008,70.93°F,77.27°F,79.65°F,82.71°F
Dec 2008,72.64°F,76.35°F,78.49°F,81.82°F
Jan 2009,75.85°F,77.58°F,78.37°F,81.28°F
Feb 2009,78.55°F,78.73°F,79.03°F,81.34°F
Mar 2009,79.00°F,79.72°F,79.90°F,81.84°F
Apr 2009,78.93°F,81.55°F,81.77°F,82.94°F
May 2009,77.20°F,81.66°F,82.51°F,83.88°F
Jun 2009,75.02°F,81.10°F,82.63°F,84.13°F
Jul 2009,73.08°F,79.99°F,82.09°F,84.31°F
Aug 2009,70.99°F,78.89°F,81.66°F,84.51°F
Sep 2009,70.18°F,78.49°F,81.46°F,84.27°F
Oct 2009,70.02°F,78.51°F,81.84°F,85.17°F
Nov 2009,71.37°F,79.29°F,82.85°F,85.71°F
Dec 2009,74.23°F,80.01°F,82.99°F,85.32°F
Jan 2010,76.14°F,80.11°F,82.58°F,84.90°F
Feb 2010,78.42°F,80.82°F,82.26°F,84.22°F
Mar 2010,79.70°F,82.18°F,83.01°F,84.38°F
Apr 2010,79.43°F,82.62°F,83.12°F,84.58°F
May 2010,76.55°F,80.83°F,81.99°F,84.20°F
Jun 2010,74.05°F,78.94°F,80.89°F,83.44°F
Jul 2010,69.37°F,77.00°F,79.48°F,82.63°F
Aug 2010,67.87°F,75.61°F,78.24°F,81.61°F
Sep 2010,66.61°F,75.33°F,77.83°F,80.96°F
Oct 2010,67.03°F,74.70°F,77.65°F,81.19°F
Nov 2010,68.54°F,75.11°F,77.68°F,81.03°F
Dec 2010,70.95°F,75.16°F,77.79°F,81.16°F
Jan 2011,75.00°F,75.92°F,77.16°F,80.67°F
Feb 2011,79.00°F,78.04°F,77.99°F,80.65°F
Mar 2011,78.98°F,79.47°F,79.52°F,81.91°F
Apr 2011,78.10°F,80.96°F,80.69°F,81.97°F
May 2011,76.60°F,80.49°F,81.48°F,83.07°F
Jun 2011,74.16°F,79.86°F,81.32°F,83.05°F
Jul 2011,71.82°F,78.58°F,80.80°F,83.08°F
Aug 2011,69.44°F,76.78°F,79.66°F,83.23°F
Sep 2011,67.78°F,75.99°F,78.96°F,82.60°F
Oct 2011,67.91°F,75.83°F,78.91°F,82.38°F
Nov 2011,69.73°F,75.52°F,78.53°F,82.17°F
Dec 2011,71.92°F,75.83°F,78.19°F,81.39°F
Jan 2012,75.04°F,77.36°F,78.64°F,81.16°F
Feb 2012,78.71°F,79.03°F,79.12°F,81.45°F
Mar 2012,79.74°F,80.67°F,80.22°F,81.59°F
Apr 2012,79.79°F,81.48°F,81.12°F,82.36°F
May 2012,77.76°F,81.07°F,81.84°F,83.07°F
Jun 2012,76.08°F,80.94°F,82.31°F,83.30°F
Jul 2012,71.83°F,79.65°F,81.63°F,83.37°F
Aug 2012,69.71°F,78.66°F,81.64°F,83.80°F
Sep 2012,70.03°F,77.74°F,80.96°F,83.84°F
Oct 2012,68.76°F,77.20°F,80.83°F,84.25°F
Nov 2012,70.74°F,77.79°F,81.18°F,84.27°F
Dec 2012,72.30°F,76.30°F,79.12°F,83.21°F
Jan 2013,75.87°F,77.00°F,78.96°F,82.65°F
Feb 2013,78.76°F,78.49°F,79.25°F,82.74°F
Mar 2013,79.00°F,80.96°F,80.64°F,81.93°F
Apr 2013,76.37°F,81.66°F,82.26°F,83.05°F
May 2013,73.83°F,79.74°F,81.64°F,83.43°F
Jun 2013,70.29°F,78.51°F,81.27°F,83.43°F
Jul 2013,68.04°F,77.54°F,80.67°F,83.50°F
Aug 2013,67.69°F,76.10°F,79.57°F,83.30°F
Sep 2013,67.66°F,76.93°F,80.28°F,83.73°F
Oct 2013,68.36°F,77.07°F,79.92°F,83.84°F
Nov 2013,69.76°F,76.95°F,80.11°F,83.86°F
Dec 2013,73.09°F,77.52°F,79.65°F,82.67°F
Jan 2014,76.48°F,77.85°F,78.93°F,82.24°F
Feb 2014,77.32°F,78.13°F,78.60°F,82.27°F
Mar 2014,78.46°F,80.80°F,80.40°F,82.90°F
Apr 2014,77.68°F,81.93°F,82.38°F,83.89°F
May 2014,77.32°F,82.04°F,82.99°F,84.69°F
Jun 2014,75.90°F,81.64°F,82.72°F,84.33°F
